pseoInstitutionId,name,state,city,lat,lon,tuitionInState,tuitionOutState,roomCost,bookCost,totalCostEstimate,loanPrincipal,pellGrantRate,federalLoanRate,studentsWithAnyLoan,medianDebtOverall,completerDebt,monthlyPayment,gradCohort,gradCohortYears,y1P25Earnings,y1P50Earnings,y1P75Earnings,y1GradsEarn,y1IpedsCount,earningsDebtRatio,matchMethod
00251700,Missouri University of Science and Technology,MO,Rolla,37.953426,-91.775583,10165,28116,10722,690,21577,18500,0.2279,0.4527,0.894556365,18500,23750,237.42,2019,3,54322,72556,84710,3337,4238,3.05,exact
00249000,Missouri Western State University,MO,Saint Joseph,39.7575,-94.785643,8875,15300,10030,1000,19905,11000,0.3268,0.3713,0.763700352,11000,21500,214.93,2019,3,29967,42377,58964,1756,2223,1.97,exact
00139300,Mitchell College,CT,New London,41.328013,-72.09523,35072,35072,13906,1200,50178,13500,0.4443,0.6058,0.94295302,13500,25500,254.92,2019,3,21336,30170,38600,111,344,1.18,exact
00172500,Monmouth College,IL,Monmouth,40.914824,-90.63731,41330,41330,9630,,50960,21500,0.3561,0.71,0.929549902,21500,27000,269.91,2019,3,27799,39860,51994,484,708,1.48,exact
00253000,Montana State University - Billings,MT,Billings,45.796896,-108.523009,5980,19310,7600,1540,15120,9928,0.3006,0.3735,0.821278826,9928,18538,185.32,2019,3,32471,44022,57398,989,1324,2.37,exact
00253300,Montana State University - Northern,MT,Havre,48.54149,-109.687806,5955,18665,6470,1400,13825,10500,0.4247,0.4442,0.791955617,10500,17772,177.66,2019,3,37325,49035,70870,324,377,2.76,exact
00253200,Montana State University Bozeman,MT,Bozeman,45.666726,-111.048812,7371,27101,10400,1450,19221,13883,0.2152,0.3663,0.879572544,13883,22995,229.87,2019,3,31047,45952,66551,5612,7871,2.0,fuzzy
00253100,Montana Technological University,MT,Butte,46.012868,-112.559511,7390,22540,10198,1340,18928,11000,0.288,0.4226,0.848894349,11000,21500,214.93,2019,3,54789,70262,87587,695,1095,3.27,exact
00343900,Morris College,SC,Sumter,33.938574,-80.346155,14980,14980,6672,3000,24652,11700,0.8833,0.8983,0.955371901,11700,31450,314.4,2019,3,23078,31991,40849,223,297,1.02,exact
00173300,National Louis University,IL,Chicago,41.880093,-87.624699,11505,11505,13500,0,25005,12500,0.6209,0.3806,0.746537396,12500,20613,206.06,2019,3,34786,46307,60047,1582,2061,2.25,exact
00344000,Newberry College,SC,Newberry,34.285868,-81.619777,28150,28150,11300,850,40300,16000,0.4831,0.7766,0.956043956,16000,26250,262.41,2019,3,30304,42853,56572,472,762,1.63,exact
00200500,Nicholls State University,LA,Thibodaux,29.794486,-90.801571,7946,9039,10156,1300,19402,13000,0.3811,0.4795,0.841438496,13000,22362,223.55,2019,3,30423,44592,61426,2100,2953,1.99,exact
00376500,Norfolk State University,VA,Norfolk,36.848429,-76.261375,9622,20790,10844,2235,22701,17250,0.7406,0.7568,0.921155347,17250,30500,304.9,2019,3,26866,37323,52998,1341,2026,1.22,exact
00295000,North Carolina Central University,NC,Durham,35.974237,-78.898602,6629,19336,10714,1500,18843,21400,0.5976,0.7022,0.903263746,21400,29000,289.9,2019,3,26768,37863,52442,2338,3296,1.31,exact
00297200,North Carolina State University,NC,Raleigh,35.785111,-78.674517,9101,29220,11602,1082,21785,17500,0.195,0.3698,0.857166204,17500,20311,203.04,2019,3,35477,51999,72888,12223,18316,2.56,fuzzy
00344100,North Greenville University,SC,Tigerville,35.069758,-82.37026,22050,22050,10500,2240,34790,14676,0.3315,0.5125,0.812619503,14676,22852,228.44,2019,3,26555,38240,48328,809,1293,1.67,exact
00169300,Northeastern Illinois University,IL,Chicago,41.980399,-87.718983,11827,21720,9698,2400,23925,11250,0.4928,0.2898,0.519561815,11250,15000,149.95,2019,3,32032,44838,59064,2931,4247,2.99,exact
