pseoInstitutionId,name,state,city,lat,lon,tuitionInState,tuitionOutState,roomCost,bookCost,totalCostEstimate,loanPrincipal,pellGrantRate,federalLoanRate,studentsWithAnyLoan,medianDebtOverall,completerDebt,monthlyPayment,gradCohort,gradCohortYears,y1P25Earnings,y1P50Earnings,y1P75Earnings,y1GradsEarn,y1IpedsCount,y5P25Earnings,y5P50Earnings,y5P75Earnings,y5GradsEarn,y5IpedsCount,y10P25Earnings,y10P50Earnings,y10P75Earnings,y10GradsEarn,y10IpedsCount,earningsDebtRatio,matchMethod
00159800,University of Georgia,GA,Athens,33.956262,-83.374039,12080,31120,10328,1052,23460,16347,0.196,0.3026,0.834428384,16347,18625,186.19,2007,3,28685,41162,54601,9683,18876,45130,60818,83267,12932,18876,60014,85357,132031,13504,18876,2.21,exact
02107800,University of Hawaii - West Oahu,HI,Kapolei,21.35531,-158.056403,7584,20544,15246,1340,24170,11500,0.3329,0.2604,0.612440191,11500,15453,154.48,2007,3,29568,42262,55498,364,606,39474,52609,68281,388,606,47676,65877,87904,370,606,2.73,exact
00161100,University of Hawaii at Hilo,HI,Hilo,19.701189,-155.080847,7838,20798,8248,1340,17426,13000,0.4478,0.3641,0.671033479,13000,19209,192.03,2007,3,24970,34387,45608,695,1599,35697,49944,67589,895,1599,46777,69272,91951,925,1599,1.79,exact
00161000,University of Hawaii at Manoa,HI,Honolulu,21.298598,-157.818979,12186,34218,13583,1350,27119,13500,0.278,0.318,0.740304709,13500,18575,185.69,2007,3,27964,40322,56768,4790,8763,41661,57750,74220,5282,8763,56735,75030,102023,5553,8763,2.17,exact
00365200,University of Houston,TX,Houston,29.720393,-95.343537,9457,21673,9750,1360,20567,14000,0.4063,0.3591,0.730269058,14000,18500,184.94,2007,3,33457,49293,68911,9351,14443,51463,69904,92013,10509,14443,64238,86322,124448,10550,14443,2.66,exact
01171100,University of Houston - Clear Lake,TX,Houston,29.582523,-95.098129,7504,20752,11019,1316,19839,13560,0.4231,0.3707,0.630852843,13560,17871,178.65,2007,3,36472,52328,66988,2517,3522,51623,62932,82715,2651,3522,59263,76067,102414,2654,3522,2.93,exact
00361200,University of Houston - Downtown,TX,Houston,29.7661,-95.359338,7222,17038,9379,1289,17890,14486,0.4805,0.3287,0.627513031,14486,18750,187.44,2007,3,37549,53092,72257,4661,6179,50336,67609,86524,4934,6179,60005,79321,107693,4801,6179,2.83,exact
01323100,University of Houston - Victoria,TX,Victoria,28.816248,-96.976334,7313,17129,9860,1158,18331,13250,0.4794,0.4501,0.777363184,13250,19201,191.95,2007,3,36282,50631,68326,1034,1194,47624,63585,86434,1077,1194,53805,75094,103266,1073,1194,2.64,exact
00177600,University of Illinois Chicago,IL,Chicago,41.871837,-87.650503,14098,28448,12000,1400,27498,14000,0.5055,0.355,0.622161218,14000,17250,172.44,2007,3,29892,43687,62838,5940,10592,45344,63947,86521,7093,10592,61784,87092,121682,7705,10592,2.53,exact
00177500,University of Illinois Urbana-Champaign,IL,Champaign,40.104718,-88.229114,15150,32600,12252,1200,28602,17000,0.243,0.342,0.866674231,17000,19500,194.94,2007,3,32001,48913,71815,12676,22878,52154,73004,100288,16887,22878,70996,104367,153993,18193,22878,2.51,exact
